timestamp,direction,entry_price,exit_price,realized_r,max_favorable_excursion_r,max_adverse_excursion_r,trend_strength_at_entry,atr_strength_at_entry,pullback_depth_at_entry,pre_entry_extension_at_entry,london_subwindow,outcome_type
2026-01-02T09:00:00+00:00,sell,4373.96,4373.98,-0.0066,0.5267,1.3384,0.002312015763909958661092325733,0.0006855475856248607838692841369,0.1288,0.4681,london_09_11,BE
2026-01-02T09:15:00+00:00,sell,4374.88,4373.3400,0.4936,0.9263,0.2436,0.002312015763909958661092325733,0.0007054855131382594867474521866,0.8722,0.1322,london_09_11,partial lock
2026-01-02T09:40:00+00:00,sell,4375.78,4380.73,-1.0041,0.0892,1.1339,0.002312015763909958661092325733,0.0007804287216051921934274875451,1.0620,0.3758,london_09_11,full loss
2026-01-02T10:20:00+00:00,buy,4383.66,4388.091428571428571428571429,1.2319,1.5429,0.1279,0.002249064639109647630134668090,0.0008160211279080529292681750456,0.1517,0.1027,london_09_11,TP
2026-01-02T10:30:00+00:00,buy,4388.80,4395.7350,1.2384,1.5804,0.2375,0.002249064639109647630134668090,0.0008282483970488381737065881635,0.2329,1.3021,london_09_11,TP
2026-01-02T11:00:00+00:00,buy,4388.59,4388.57,-0.0054,0.6880,0.2914,0.001836932468837764511774199681,0.0008400067838563749532470550933,0.7695,-0.3056,london_11_13,BE
2026-01-02T11:25:00+00:00,buy,4388.73,4395.4275,1.2380,1.4510,0.7652,0.001836932468837764511774199681,0.0008912479000500309723293242367,1.2988,0.0792,london_11_13,TP
2026-01-05T07:00:00+00:00,buy,4405.80,4405.78,-0.0061,0.9672,0.2281,0.003137794001232299861884448849,0.0007417204542344699138728799765,0.3697,0.2943,london_07_09,BE
2026-01-05T07:15:00+00:00,buy,4408.74,4410.5650,0.4946,1.5772,0.4770,0.003137794001232299861884448849,0.0005890922664952315281662575208,0.4439,0.9692,london_07_09,partial lock
2026-01-05T07:45:00+00:00,buy,4405.98,4408.4150,0.4959,1.3666,0.0244,0.003137794001232299861884448849,0.0008637650559047938960602716062,1.3139,-0.2339,london_07_09,partial lock
2026-01-05T07:55:00+00:00,buy,4412.71,4416.1150,0.4971,1.0949,0.1898,0.003137794001232299861884448849,0.0009585989498469187729026965411,0.4576,1.1570,london_07_09,partial lock
2026-01-05T08:15:00+00:00,buy,4419.17,4422.3450,0.4969,1.1330,0.1236,0.002380588467803918283825281631,0.001088767878761429557397107718,0.3127,1.0113,london_07_09,partial lock
2026-01-05T08:45:00+00:00,buy,4421.88,4421.86,-0.0036,0.3926,0.9191,0.002380588467803918283825281631,0.001245435825001889960979574852,0.1329,0.1559,london_07_09,BE
2026-01-05T09:10:00+00:00,buy,4419.98,4419.96,-0.0043,0.7201,0.2408,0.003493502611348688802151539029,0.001057378670524490848656678212,0.7818,-0.1057,london_09_11,BE
2026-01-05T09:30:00+00:00,buy,4421.11,4423.302857142857142857142857,0.4955,0.9174,0.1491,0.003493502611348688802151539029,0.0009965221892597268353020893685,0.4518,0.0566,london_09_11,partial lock
2026-01-05T09:55:00+00:00,buy,4421.86,4421.84,-0.0058,0.5190,0.7289,0.003493502611348688802151539029,0.0007711721817162086371284352215,0.5256,0.0140,london_09_11,BE
2026-01-05T10:10:00+00:00,buy,4424.37,4426.7700,0.4959,1.2066,0.0145,0.003736272622143365215150988050,0.0008280473806483276800950583541,0.3807,0.8421,london_09_11,partial lock
2026-01-05T10:35:00+00:00,buy,4425.94,4430.330357142857142857142858,1.2318,1.4056,0.1206,0.003736272622143365215150988050,0.0008008020285693628185132776268,0.5589,0.0928,london_09_11,TP
2026-01-05T10:40:00+00:00,buy,4430.08,4430.06,-0.0035,0.6743,0.0195,0.003736272622143365215150988050,0.0008268188563715035139801395789,0.3469,1.1901,london_09_11,BE
2026-01-05T11:10:00+00:00,buy,4430.55,4432.7200,0.4954,0.9110,0.1553,0.003835219996106048107057689469,0.0008360818489629263961003053165,0.5445,0.5650,london_11_13,partial lock
2026-01-05T11:40:00+00:00,buy,4437.64,4430.97,-1.0030,0.0677,1.0211,0.003835219996106048107057689469,0.0007269018721103397123425877579,0.3949,1.6604,london_11_13,full loss
2026-01-05T12:05:00+00:00,buy,4432.82,4432.80,-0.0061,1.1434,0.4094,0.003553739119220403060022506060,0.0007392940933818031814783303684,0.8002,-0.3150,london_11_13,BE
2026-01-05T12:30:00+00:00,buy,4436.62,4436.60,-0.0049,0.5735,0.4559,0.003553739119220403060022506060,0.0006911663371565098112454195941,0.2295,1.0946,london_11_13,BE
2026-01-05T12:45:00+00:00,buy,4436.70,4438.286428571428571428571428,0.4938,0.9898,0.4513,0.003553739119220403060022506060,0.0007196500858428245573588487660,0.0588,0.5425,london_11_13,partial lock
2026-01-06T07:15:00+00:00,buy,4468.82,4468.80,-0.0080,0.7931,0.4647,0.003993161002589108060942714426,0.0005541596337783233594189555520,0.0130,0.5766,london_07_09,BE
2026-01-06T07:30:00+00:00,buy,4471.38,4467.64,-1.0054,0.1720,2.1237,0.003993161002589108060942714426,0.0005607114741695719295375775730,0.3538,1.1220,london_07_09,full loss
2026-01-06T08:35:00+00:00,sell,4464.32,4464.34,-0.0041,0.6350,0.1654,0.001723650864728628767894547745,0.001092626713659161904591240171,0.9009,-0.7553,london_07_09,BE
2026-01-06T09:05:00+00:00,buy,4469.19,4464.23,-1.0040,0.2126,1.4595,0.0006588320912073237551319830895,0.0008592199446429650248256387651,0.0150,1.1959,london_09_11,full loss
2026-01-06T09:25:00+00:00,buy,4464.61,4464.59,-0.0054,0.7035,0.2992,0.0006588320912073237551319830895,0.0008265036655101588275743125349,1.0502,-0.3428,london_09_11,BE
2026-01-06T09:45:00+00:00,buy,4465.53,4462.196428571428571428571429,-1.0060,0.2686,1.6719,0.0006588320912073237551319830895,0.0007375577321675303764695569888,0.3163,0.1027,london_09_11,full loss
2026-01-06T10:10:00+00:00,sell,4461.96,4465.580714285714285714285714,-1.0056,0.0611,1.1137,0.0005468854751871661544617846564,0.0008024944723450767852580500778,0.2974,0.1159,london_09_11,full loss
2026-01-06T10:30:00+00:00,sell,4467.14,4467.16,-0.0023,0.3139,0.2264,0.0005468854751871661544617846564,0.0008789540941959928519621926618,2.1442,0.0333,london_09_11,BE
2026-01-06T11:20:00+00:00,buy,4457.28,4452.09,-1.0039,-0.0039,2.2689,0.001505152443113308846259797554,0.001033786932522927282039382298,1.6419,-0.5242,london_11_13,full loss
2026-01-06T11:50:00+00:00,buy,4449.41,4449.39,-0.0044,0.5512,1.4837,0.001505152443113308846259797554,0.0009938762071076837820144205963,1.8618,-0.9934,london_11_13,BE
2026-01-06T12:00:00+00:00,sell,4445.30,4451.96,-1.0030,0.0136,1.0557,0.001433121816719880091909005958,0.001085732539261194116187682455,0.3310,1.0406,london_11_13,full loss
2026-01-06T12:20:00+00:00,sell,4449.89,4449.91,-0.0045,0.3201,0.8092,0.001433121816719880091909005958,0.0009924759312949186452246064687,0.5121,0.1038,london_11_13,BE
2026-01-06T12:40:00+00:00,sell,4451.09,4451.11,-0.0041,0.3538,0.1718,0.001433121816719880091909005958,0.001017402721696706792559287780,0.9374,0.1380,london_11_13,BE
2026-01-07T07:00:00+00:00,sell,4463.93,4463.95,-0.0054,0.5391,0.8549,0.001926558815493986649836753718,0.0008183015362755279196995614070,0.0157,0.4196,london_07_09,BE
